Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Keyring Network,https://www.crunchbase.com/organization/keyring-b71c,,,"Keyring equips financial service providers with permissioning tools for compliant transactions on-chain, powered by zero-knowledge privacy. The company operates at the intersection of traditional and blockchain-based finance, serving as an institutional-grade gateway to channel assets, capital, and users on-chain.",,"Blockchain, FinTech","London, England, United Kingdom",Institutional-grade compliance for blockchains,"36,757",2022-01-01,year,,"Alex McFarlane, Melodie Lamarque",Private,"37,671",,2024-03-18,2,Seed,6000000,USD,6000000,Seed,7000000,USD,7000000,6000000,USD,6000000,Seed,7000000,USD,7000000,"Kima Ventures, Greenfield, gumi Cryptos Capital (gCC), Motier Ventures, Eberg Capital",6,"Blockchain and Cryptocurrency, Financial Services, Other",,"Europe, Middle East, and Africa (EMEA)",https://www.keyring.network/,https://www.linkedin.com/company/keyring-network,,1-10
IsomAb,https://www.crunchbase.com/organization/isomab,,NG1 1GF,IsomAb evaluate and develop isoform specific antibodies to treat disease.,,,"Nottingham, Nottingham, United Kingdom",IsomAb evaluate and develop isoform specific antibodies to treat disease.,"36,777",2022-01-01,year,,"David Bates, Stephen Harper",Private,"37,692",,2024-02-20,2,Seed,7500000,GBP,9468705,Seed,7500000,GBP,9468705,7500000,GBP,9468705,Seed,7500000,GBP,9468705,"SCVC, Broadview Ventures, MEIF Proof-of-Concept & Early Stage Fund",3,,,"Europe, Middle East, and Africa (EMEA)",https://www.isomab.bio/,https://www.linkedin.com/company/isomab-ltd/about/,info@isomab.bio,1-10
KOPE,https://www.crunchbase.com/organization/matterlab,,EC1Y 4TW,"Our software platform KOPE, is a connected offsite construction platform with embedded, standardized processes and algorithms that bridges the gap between design, manufacturing and construction.",,"Construction, Consulting, Manufacturing, Software","London, England, United Kingdom","KOPE is the first, purpose-built software platform for offsite building, bridging the gap between design, manufacturing and construction","36,810",2019-08-29,day,,"David Flynn, Mark Thorley, Radu Gidei",Private,"37,739",,2024-01-16,3,Seed,5500000,GBP,6950403,Seed,7575000,GBP,9535863,5500000,GBP,6950403,Seed,7575000,GBP,9535863,"Socii Capital, Barton Malow Company, Halkin Private Capital, Saint-Gobain, Autodesk",5,"Manufacturing, Professional Services, Real Estate, Software",,"Europe, Middle East, and Africa (EMEA)",http://kope.ai/,https://www.linkedin.com/company/kope-ai/,info@kope.ai,11-50
Bolero,https://www.crunchbase.com/organization/bolero-music,,,"At Bolero, we believe in shaping a collective universe in Music where creators unlock everlasting freedom of choice and investors thrive through ownership. We’re a passionate team of music professionals and technology pioneers, associated and driven by the same mission. We surround ourselves with artists, producers and composers to let them monetise their catalog at a fair value, without compromising their creative control. Our ambition is to unlock the untapped value of music IP through the world’s largest infrastructure dedicated to music investment through catalogs, and establish this new asset class as a popular investment vehicle. Earn royalties from limited music assets, in a just few clicks.",,"Blockchain, FinTech, Music","Paris, Ile-de-France, France",A record label for every pocket.,"37,007",2021-02-01,month,,"Arthur Amon, William Bailey",Private,"37,942",,2024-02-26,3,Seed,2000000,EUR,2170045,Seed,3420045,USD,3420045,2000000,EUR,2170045,Seed,3420045,USD,3420045,"Sebastien Borget, Newfund, XVC Tech, Julien Bouteloup, Frederic Montagnon",10,"Blockchain and Cryptocurrency, Financial Services, Media and Entertainment, Music and Audio, Other",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.boleromusic.com,https://www.linkedin.com/company/bolero-music,contact@boleromusic.com,1-10
Pluto.markets,https://www.crunchbase.com/organization/pluto-markets,Growing,1411,Pluto is the modern investment app for the 100m Europeans living in countries without the EUR.,,"Apps, Financial Services, FinTech, Trading Platform, Wealth Management","Copenhagen, Hovedstaden, Denmark",Next-Gen Investing for 100m Underserved Europeans,"37,045",2021-01-01,year,,"Joakim Bruchmann, Oscar Vingtoft",Private,"37,981",,2024-02-07,3,Seed,2600000,USD,2600000,Seed,4400000,USD,4400000,2600000,USD,2600000,Seed,4400000,USD,4400000,"Y Combinator, Goodwater Capital, Eight Capital, Magnetic Capital, Nordic Makers",6,"Apps, Financial Services, Lending and Investments, Software",,"European Union (EU), Nordic Countries, Scandinavia",https://pluto.markets/,https://www.linkedin.com/company/pluto-markets/,jb@pluto.markets,1-10
Tree.ly,https://www.crunchbase.com/organization/tree-ly,,,,,"Carbon Capture, GreenTech, Sustainability","Dornbirn, Vorarlberg, Austria",Tree.ly does climate protection through the projects in European forests through its SaaS platform and hyperlocal CO2-credits.,"37,118",2021-11-01,month,,"Christian Lutz, Jodok Batlogg",Private,"38,041",,2024-06-28,1,Seed,5000000,EUR,5360085,Seed,5000000,EUR,5360085,5000000,EUR,5360085,Seed,5000000,EUR,5360085,"PortfoLion Capital Partners, aws Gründungsfonds, Symbia VC, TBA Network",4,Sustainability,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://tree.ly,https://www.linkedin.com/company/hitreely,office@tree.ly,11-50
Autonomo Technologies,https://www.crunchbase.com/organization/autonomo-technologies,Growing,,"Autonomo is a Harvard award winning deep tech business that exists to simplify shopping for customers and retailers. Autonomo use computer vision to remove checkouts from retail stores, allowing customers to tap their card or phone, grab their products and walk out. Founded by former Metro Group CEO and Harvard graduate, Autonomo’s team of 28 people work with petrol stations, convenience stores and grab-and-go stores to increase customer satisfaction and increase efficiencies in brick and mortar retail.  To date the Autonomo technology has been used by over 20,000 customers and works with leading European brands such as Edeka.  The business was set up to impact the $1tr convenience retail market",,"Artificial Intelligence (AI), Computer Vision, Retail Technology, Software","Hamburg, Hamburg, Germany",Autonomo Simplifies Shopping for Retailers and Customers,"37,190",2021-05-25,day,,"James Sutherland, Patrick Mueller-Sarmiento",Private,"38,115",,2024-03-13,2,Seed,2300000,EUR,2519159,Seed,4519159,USD,4519159,2300000,EUR,2519159,Seed,4519159,USD,4519159,"Harvard University, River Capital, Brookstreet Equity Partners, Plug and Play, Potter Ventures",5,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.autonomo.tech,https://www.linkedin.com/company/autonomo-gmbh,hello@autonomo.tech,11-50
Sopht,https://www.crunchbase.com/organization/sopht,Growing,69100,"Sopht is an Environmental Services company that allows organizations to pilot their environmental impact and automate their decarbonation. Sopht provides a lever for optimizing and rationalizing the challenges of an IT department. The platform is built on a series of modules that reconstitutes the entire IT value chain of a company (multi-cloud monitoring, management of IT assets, analysis of digital uses and services, etc.) thus allowing a vision and end-to-end management. Founded by Jérémie Veg, Julien Rouzé, Gautier Levert in 2021 and is located in Lyon and Paris.",,"Environmental Consulting, Simulation, Software","Villeurbanne, Rhone-Alpes, France",Sopht is an Environmental Services company that allows organizations to pilot their environmental impact and automate their decarbonation.,"37,233",2021-01-01,year,,,Private,"38,158",,2024-06-04,3,Seed,3300000,EUR,3590961,Seed,3300000,EUR,3590961,3300000,EUR,3590961,Seed,3300000,EUR,3590961,"Plug and Play, Axeleo Capital, Wind Capital, Ring Capital, Evolem Start",7,"Professional Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://sopht.com/en,https://www.linkedin.com/company/sopht,,1-10
XOXO Soda,https://www.crunchbase.com/organization/xoxo-soda,,,XOXO Soda is a plant-based drink with prebiotic fiber that is low in sugar and calories.,,Food and Beverage,"London, England, United Kingdom",XOXO Soda is a plant-based drink with prebiotic fiber that is low in sugar and calories.,"37,240",2021-01-01,year,,,Private,"38,165",,2024-06-26,2,Seed,4000000,GBP,5048389,Seed,5500000,GBP,6955740,4000000,GBP,5048389,Seed,5500000,GBP,6955740,"JamJar Investments, Green Generation Fund, Revery Group, Döhler Ventures, G-FUND",5,Food and Beverage,,"Europe, Middle East, and Africa (EMEA)",,https://www.linkedin.com/company/xoxo-soda,,1-10
Release Therapeutics,https://www.crunchbase.com/organization/release-therapeutics,,1202,"Today, neurological conditions are the Number 1 cause of poor health, disability and premature death worldwide, impacting lives of all ages, lifestyles and backgrounds. Therapeutic proteins hold incredible potential in the treatment of these conditions, but their application is limited because the physical properties of proteins make it challenging for them to pass through the blood-brain barrier (a semi-permeable membrane that regulates the passage of large and small molecules into the brain tissue) and to reach their target sites.  At Release Tx, we are a preclinical-stage BioMedTech company developing the first cell macroencapsulation technology specifically designed to deliver diverse, potent therapeutic proteins beyond the human blood-brain barrier. We’re innovating at the nexus of biotech and MedTech with a cutting-edge, proprietary technology that consists of a versatile, implantable and biocompatible cell macroencapsulation device, no larger than a pin, and a genetically engineered cell line capable of producing a broad range of proteins for long-term delivery to the CNS and beyond. Our dedicated team brings together tremendous experience developing novel therapies from bench to bedside and has been instrumental in the evolution of this technology, from ideation to a potentially life-transforming reality.      Collaborating with the Paris Brain Institute, ranking 2nd in the world in the field of neurology research, and Minaris Regenerative Medicine, a leading CDMO with expertise in cell and gene therapies, we’ve demonstrated in animal models that our technology can reverse the progression of rare genetic diseases of the CNS. With two seminal publications by Cell Press journals in 2022 and 2023, we’ve made a major leap towards treating genetic diseases of the CNS without gene therapy, heralding a new era of hope for patients and their families around the world.",,"Biotechnology, Medical Device","Geneva, Geneve, Switzerland",Release Therapeutics is a biotechnology research company that gets therapeutic proteins where they are needed most in the CNS and beyond.,"37,266",2023-09-26,day,,,Private,"38,191",,2024-08-06,1,Seed,3300000,CHF,3855365,Seed,3300000,CHF,3855365,3300000,CHF,3855365,Seed,3300000,CHF,3855365,,,"Biotechnology, Health Care, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://www.release-tx.com/,https://www.linkedin.com/company/releasetx/,contact@release-tx.com,1-10
PowerAPI,https://www.crunchbase.com/organization/foodetective,,1207,"PowerAPI empowers corporates, service & product integrators, agencies and the public sector with white label plug and play tools to faciliate digitalization, boost their product offering, answer customer needs, and a quick go-to-market. PowerAPI's OpenAPI and SDK's facilitates integration, and our partner success team ensures you have top class support.  SMB's use PowerAPI as an all-in-one operational software to manage their entire tech stack, automate operations, simplify their admin, grow their online revenues, and accelerate new business opportunities.",,"Developer APIs, Mobile, SaaS, Software","Geneva, Geneve, Switzerland","PowerAPI is the most open, modular & intelligent operational software","37,344",2018-01-19,day,,"Andrea Tassistro, Bernard Moret, Edouard Thimon, Jeff Hancock, Nausica Castanas",Private,"38,291",,2023-12-22,3,Seed,3500000,USD,3500000,Seed,5500000,USD,5500000,3500000,USD,3500000,Seed,5500000,USD,5500000,"Innosuisse, 4See Ventures, Prediction Capital, Filippo Catalano, Charles Lorenceau",9,"Mobile, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.powerapi.com/,https://www.linkedin.com/company/powerapi/,hello@powerapi.com,11-50
Symphera,https://www.crunchbase.com/organization/symphera,,81675,Symphera provides an all-in-one surgical system that makes minimally-invasive procedures more efficient.,,"Manufacturing, Medical Device","München, Bayern, Germany",Symphera provides an all-in-one surgical system that makes minimally-invasive procedures more efficient.,"37,376",2023-01-01,year,,"Conrad Heid, Nico Weigand, Philipp Preißler, Thomas Wegele",Private,"38,323",,2024-09-16,1,Seed,2500000,EUR,2782517,Seed,2500000,EUR,2782517,2500000,EUR,2782517,Seed,2500000,EUR,2782517,"Bayern Kapital, HTGF | High-Tech Gruenderfonds, IRCAD Institut de Recherche contre les Cancers de l’Appareil Digestif, Carma Fund, Stern Stewart Ventures",6,"Health Care, Manufacturing",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://symphera.io/,https://www.linkedin.com/company/symphera-gmbh/about/,,1-10
Senisca,https://www.crunchbase.com/organization/senisca,Growing,,Senisca is a biotech start-up. They propose to create a new generation of oligonucleotide-based interventions to rewind the clock in old cells and target diseases and cosmetic signs of aging. They provide molecular and cellular biology and have patent-protected an innovation for the reversal of cellular senescence.,,"Biotechnology, Health Care","Exeter, Devon, United Kingdom",Senisca is a biotech spinout company that creates a new generation of oligonucleotide-based interventions.,"37,485",2020-01-01,year,,,Private,"38,437",,2024-03-18,6,Seed,3700000,GBP,4708943,Seed,7991962,GBP,10276685,3700000,GBP,4708943,Seed,7000000,GBP,9006079,"Innovate UK, R42 Group, APEX Ventures, Longevitytech.fund, Trend Investment Group",8,"Biotechnology, Health Care, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://www.senisca.com,https://www.linkedin.com/company/senisca,,11-50
Kurs Orbital,https://www.crunchbase.com/organization/kurs-orbital,Growing,10129,"Kurs Orbital enables satellite life extension and space debris removal missions, securing safe and sustainable orbits for generations. Kurs Orbital expands human activities beyond Earth by providing spacecraft on-orbit servicing. KURS Orbital is building the infrastructure that makes it possible for a truly scalable industry to thrive in space and the on-orbit servicing platform makes up the base layer supporting thousands of future businesses. Its headquarters is located in Kyiv, Ukraine.",,Aerospace,"Turin, Piemonte, Italy","Kurs Orbital enables satellite life extension and space debris removal missions, securing safe and sustainable orbits for generations.","37,810",1985-01-01,year,,,Private,"38,749",,2024-03-07,2,Seed,3700000,EUR,4051908,Seed,3700000,EUR,4051908,3700000,EUR,4051908,Seed,3700000,EUR,4051908,"Inovo.vc, In-Q-Tel, OTB Ventures, Galaxia, Credo Ventures",6,Science and Engineering,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://kursorbital.com,https://www.linkedin.com/company/kurs-orbital,contact@kursorbital.com,11-50
